Index,Group,DMY,MissingPrevDays,Year,Day,January,February,March,April,May,June,July,August,September,October,November,December,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Holiday,Carnival,LentFasting,Ramadan,ChristmasSeason,DailyAvg,WeeklyAvg,MinSales,MaxSales,DailyBusyness,WeeklyBusyness,2to5
1,0,9/11/2016,0,2016,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,666.45
2,0,9/12/2016,0,2016,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,666.45,?,666.45,666.45,?,?,475.49
3,0,9/13/2016,0,2016,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,570.97,?,475.49,666.45,0.5,?,320.54
4,0,9/14/2016,0,2016,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,487.4933333,?,320.54,666.45,0.4826496,?,365.61
5,0,9/15/2016,0,2016,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,457.0225,?,320.54,666.45,0.3945607,?,494.99
6,0,9/16/2016,0,2016,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,464.616,?,320.54,666.45,0.416513,?,540.93
7,0,9/17/2016,0,2016,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,477.335,?,320.54,666.45,0.4532826,?,862.04
8,0,9/18/2016,0,2016,18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,532.2928571,666.45,320.54,862.04,0.3910487,0.6387996,942.94
9,0,9/19/2016,0,2016,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,583.62375,475.49,320.54,942.94,0.4226924,0.2489557,427.55
10,0,9/20/2016,0,2016,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,566.2822222,320.54,320.54,942.94,0.39483,0,378.36
11,0,9/21/2016,0,2016,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,547.49,365.61,320.54,942.94,0.3646369,0.0724132,420.98
12,0,9/22/2016,0,2016,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,535.9890909,494.99,320.54,942.94,0.3461586,0.280286,541.16
13,0,9/23/2016,0,2016,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,536.42,540.93,320.54,942.94,0.3468509,0.354097,574.29
14,0,9/24/2016,0,2016,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,539.3330769,862.04,320.54,942.94,0.3515313,0.8700193,824.21
15,0,9/25/2016,0,2016,25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,559.6814286,804.695,320.54,942.94,0.3842247,0.777884,884.5
16,0,9/26/2016,0,2016,26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,581.336,451.52,320.54,942.94,0.4190167,0.2104434,397.49
17,0,9/27/2016,0,2016,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,569.845625,349.45,320.54,942.94,0.4005553,0.0464492,499.57
18,0,9/28/2016,0,2016,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,565.7117647,393.295,320.54,942.94,0.3939135,0.1168943,433.56
19,0,9/29/2016,0,2016,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,558.37,518.075,320.54,942.94,0.3821176,0.3173763,342.37
20,0,9/30/2016,0,2016,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,547.0015789,557.61,320.54,942.94,0.3638522,0.3808965,565.99
21,0,10/1/2016,0,2016,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547.951,843.125,320.54,942.94,0.3653776,0.8396289,1060.11
22,0,10/2/2016,0,2016,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,572.3395238,831.2966667,320.54,1060.11,0.3404675,0.690613,686.65
23,0,10/3/2016,0,2016,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,577.5354545,433.51,320.54,1060.11,0.3474931,0.1527509,429.05
24,0,10/4/2016,0,2016,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,571.0795652,399.49,320.54,1060.11,0.3387638,0.1067512,318.74
25,0,10/5/2016,0,2016,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,560.5654167,406.7166667,318.74,1060.11,0.3261872,0.1186677,327.21
26,0,10/6/2016,0,2016,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,551.2312,459.5066667,318.74,1060.11,0.3135967,0.1898737,553.29
27,0,10/7/2016,0,2016,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,551.3103846,560.4033333,318.74,1060.11,0.3137035,0.3259686,596.13
28,0,10/8/2016,0,2016,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,552.9703704,915.4533333,318.74,1060.11,0.3159426,0.8048793,675.98
29,0,10/9/2016,0,2016,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,557.3635714,795.135,318.74,1060.11,0.3218684,0.6425874,788.49
