Index,Group,DMY,MissingPrevDays,Year,Day,January,February,March,April,May,June,July,August,September,October,November,December,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Holiday,Carnival,LentFasting,Ramadan,ChristmasSeason,DailyAvg,WeeklyAvg,MinSales,MaxSales,DailyBusyness,WeeklyBusyness,2to5,AvgDailyDiff,AvgWeeklyDiff,MinDailyDiff,MaxDailyDiff,DailyDifference,WeeklyDifference,DiffDifference
1,0,9/11/2016,0,2016,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,666.45,?,?,?,?,?,?,?
2,0,9/12/2016,0,2016,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,666.45,?,666.45,666.45,,?,475.49,?,?,-190.96,-190.96,-190.96,?,?
3,0,9/13/2016,0,2016,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,570.97,?,475.49,666.45,0.5,?,320.54,-190.96,?,-190.96,-154.95,-154.95,?,?
4,0,9/14/2016,0,2016,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,487.49333,?,320.54,666.45,0.48265,?,365.61,-172.955,?,-190.96,45.07,45.07,?,?
5,0,9/15/2016,0,2016,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,457.0225,?,320.54,666.45,0.39456,?,494.99,-100.28,?,-190.96,129.38,129.38,?,?
6,0,9/16/2016,0,2016,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,464.616,?,320.54,666.45,0.41651,?,540.93,-42.865,?,-190.96,129.38,45.94,?,?
7,0,9/17/2016,0,2016,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,477.335,?,320.54,666.45,0.45328,?,862.04,-25.104,?,-190.96,321.11,321.11,?,?
8,0,9/18/2016,0,2016,18,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,532.29286,666.45,320.54,862.04,0.39105,0.6388,942.94,32.59833,?,-190.96,321.11,80.9,276.49,195.59
9,0,9/19/2016,0,2016,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,583.62375,475.49,320.54,942.94,0.42269,0.24896,427.55,39.49857,?,-515.39,321.11,-515.39,-47.94,467.45
10,0,9/20/2016,0,2016,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,566.28222,320.54,320.54,942.94,0.39483,0,378.36,-29.8625,?,-515.39,321.11,-49.19,57.82,107.01
11,0,9/21/2016,0,2016,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,547.49,365.61,320.54,942.94,0.36464,0.07241,420.98,-32.01,?,-515.39,321.11,42.62,55.37,12.75
12,0,9/22/2016,0,2016,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,535.98909,494.99,320.54,942.94,0.34616,0.28029,541.16,-24.547,?,-515.39,321.11,120.18,46.17,-74.01
13,0,9/23/2016,0,2016,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,536.42,540.93,320.54,942.94,0.34685,0.3541,574.29,-11.39,?,-515.39,321.11,33.13,33.36,0.23
14,0,9/24/2016,0,2016,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,539.33308,862.04,320.54,942.94,0.35153,0.87002,824.21,-7.68,?,-515.39,321.11,249.92,-37.83,-287.75
15,0,9/25/2016,0,2016,25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,559.68143,804.695,320.54,942.94,0.38422,0.77788,884.5,12.13538,276.49,-515.39,321.11,60.29,-58.44,-118.73
